order,state,county,fips,svi_overall,weighted_svi,parking_lat,parking_lon,leg_km_from_prev,total_km,total_svi,total_weighted_svi
1,Massachusetts,Hampden County,25013,0.8177,0.8177,42.110573,-72.13872,0.0,0.0,0.8177,0.8177
2,Massachusetts,Suffolk County,25025,0.7849,0.7849,42.35631,-71.17052,89.645,89.645,1.6026,1.6026
3,Massachusetts,Essex County,25009,0.6055,0.6055,42.419011,-70.930591,36.164,125.809,2.2081,2.2081
4,Massachusetts,Plymouth County,25023,0.3064,0.3064,42.058537,-71.067082,60.696,186.505,2.5145,2.5145
5,Massachusetts,Bristol County,25005,0.6227,0.6227,42.062148,-71.073388,2.779,189.284,3.1372,3.1372
6,Massachusetts,Worcester County,25027,0.51,0.51,42.351404,-71.907743,110.592,299.876,3.6471999999999998,3.6471999999999998
7,Massachusetts,Franklin County,25011,0.4375,0.4375,42.412945,-72.477401,75.688,375.56399999999996,4.0847,4.0847
8,Massachusetts,Berkshire County,25003,0.4235,0.4235,42.65667,-72.956593,66.417,441.981,4.5081999999999995,4.5081999999999995
