ZIP Code,State,County,Hospitals,Nursing Homes,Public Health Departments,Pharmacies,Representative Lat,Representative Lon
01071,MA,HAMPDEN,0,0,1,0,42.189979492098594,-72.85661148585703
01072,MA,FRANKLIN,0,0,1,0,42.45180691193438,-72.40957735057391
01073,MA,HAMPSHIRE,0,0,1,0,42.22883712288198,-72.72885607123345
01075,MA,HAMPSHIRE,0,2,1,0,42.22771852257484,-72.58697483464682
01077,MA,HAMPDEN,0,1,1,0,42.069973252453366,-72.76721142223465
01081,MA,HAMPDEN,0,0,1,0,42.073483520965404,-72.22041064353215
01082,MA,HAMPSHIRE,1,1,1,0,42.25629056003523,-72.2423274990818
01083,MA,WORCESTER,0,0,1,0,42.21165896168624,-72.19826102280739
01085,MA,HAMPDEN,1,5,2,0,42.134813720470234,-72.74435545653091
01086,MA,HAMPDEN,1,0,0,0,42.1183,-72.7596
01089,MA,HAMPDEN,0,2,1,0,42.12724613532696,-72.62983564323714
01095,MA,HAMPDEN,0,3,1,0,42.14105785460481,-72.44508262553364
01098,MA,HAMPSHIRE,0,0,1,0,42.39946207518207,-72.93695182012836
01102,MA,HAMPDEN,1,0,0,0,42.11513795,-72.5933057
01103,MA,HAMPDEN,0,0,1,0,42.10019891580397,-72.58756555247427
01104,MA,HAMPDEN,1,1,0,0,42.121341321,-72.58507665849996
01105,MA,HAMPDEN,0,2,0,0,42.1063158865,-72.57967356949996
01106,MA,HAMPDEN,0,3,1,0,42.06038902153426,-72.55701179844334
01108,MA,HAMPDEN,0,1,0,0,42.084346598,-72.575409421
01109,MA,HAMPDEN,2,2,0,0,42.11590863325002,-72.54091062074998
01118,MA,HAMPDEN,0,1,0,0,42.095499918,-72.5052371199999
01119,MA,HAMPDEN,0,1,0,0,42.1229303640001,-72.521094668
01199,MA,HAMPDEN,1,0,0,0,42.1217,-72.6032
01201,MA,BERKSHIRE,2,9,1,0,42.48102663250647,-73.08720527915501
01220,MA,BERKSHIRE,0,0,1,0,42.62142918077573,-73.12108376914092
01223,MA,BERKSHIRE,0,0,2,0,42.3249453548442,-73.08713221291666
01225,MA,BERKSHIRE,0,0,1,0,42.56191673170629,-73.1627845015784
01226,MA,BERKSHIRE,0,2,1,0,42.471710898767945,-73.17713275410696
01230,MA,BERKSHIRE,1,2,3,0,42.202279968000816,-73.38835724625926
01235,MA,BERKSHIRE,0,0,2,0,42.43770046639666,-73.08357639311157
01237,MA,BERKSHIRE,0,1,3,0,42.548641549579635,-73.25200377120338
01238,MA,BERKSHIRE,0,2,1,0,42.31982402086617,-73.25803888834999
01240,MA,BERKSHIRE,0,3,0,0,42.3686816516667,-73.27633537533326
