OBJECTID,Name,Address,City,State,Zip,Status,x,y
54611,HEALTHY FAMILY PHARMACY,7932 SEVILLE AVE,HUNTINGTON PARK,CA,90255,open,-13160439.8911987,4024190.45820949
54615,WALGREENS #7016,3724 CRENSHAW BLVD,LOS ANGELES,CA,900165804,open,-13172956.7660629,4031400.28578685
54620,WALGREENS #2156,2551 W MAIN ST,ALHAMBRA,CA,918011652,open,-13152574.3899377,4041612.66744671
54621,WALGREENS #7556,28460 HASKELL CANYON RD,SAUGUS,CA,913905203,open,-13192546.5474138,4090754.855916
54627,The Medicine Cabinet #6,5906 Atlantic Blvd,MAYWOOD,CA,90270,open,-13156291.6816937,4026978.70964856
54628,RALPHS PHARMACY,4700 ADMIRALTY WY,MARINA DEL REY,CA,90292,open,-13184579.5227772,4026081.79320101
54629,CVS Pharmacy #09652,8491 WEST SANTA MONICA BOULEVARD,WEST HOLLYWOOD,CA,90069,open,-13177551.5893649,4040917.97172333
54631,CVS Pharmacy #09708,150 W WILLOW ST,POMONA,CA,91768,open,-13108194.3145846,4039300.4951179
54636,CVS Pharmacy #09682,22968 VICTORY BLVD,WOODLAND HILLS,CA,91367,open,-13205537.5319893,4053836.73737214
54637,CVS Pharmacy #09688,451 S SIERRA MADRE BLVD,PASADENA,CA,91107,open,-13147049.0470121,4047371.48414296
54638,CVS Pharmacy #08876,233 EAST WILLOW STREET,LONG BEACH,CA,90806,open,-13156965.0532935,4002622.79396053
54641,CVS Pharmacy #08860,11831 HAWTHORNE BOULEVARD,HAWTHORNE,CA,90250,open,-13175097.2172319,4018961.31943679
54642,CVS Pharmacy #09602,21051 SHERMAN WAY,CANOGA PARK,CA,91303,open,-13201618.306677,4055857.10185875
54643,CVS Pharmacy #09580,5101 WEST RODEO ROAD,LOS ANGELES,CA,90016,open,-13175346.3502523,4031716.17826754
54644,CVS Pharmacy #09658,101 E ALAMEDA AVE,BURBANK,CA,91502,open,-13169263.1853584,4052145.03277064
54645,CVS Pharmacy #08831,3880 WEST ROSECRANS BOULEVARD,HAWTHORNE,CA,90250,open,-13173655.8524651,4015618.94646666
54646,CVS Pharmacy #09564,15700 SOUTH WESTERN AVENUE,GARDENA,CA,90247,open,-13170047.4311711,4013775.87478326
54647,CVS Pharmacy #09507,650 EAST EL SEGUNDO BOULEVARD,LOS ANGELES,CA,90059,open,-13165033.7126252,4017542.13019725
54648,CVS Pharmacy #09609,9920 EAST GARVEY AVENUE,EL MONTE,CA,91733,open,-13141482.738514,4037129.21201995
54650,CVS Pharmacy #09478,3020 SEPULVEDA BOULEVARD,TORRANCE,CA,90505,open,-13173607.9850841,4005084.86363113
54651,CVS Pharmacy #09709,1479 FOOTHILL BOULEVARD,LA VERNE,CA,91750,open,-13110702.3427122,4044597.59952579
54654,CVS Pharmacy #09716,5585 N ROSEMEAD BLVD,TEMPLE CITY,CA,91780,open,-13144065.2393809,4042339.93887093
54657,CVS Pharmacy #09722,26550 BOUQUET CANYON RD,SAUGUS,CA,91350,open,-13195187.0457354,4086362.71553208
54658,CVS Pharmacy #09582,3741 CRENSHAW BOULEVARD,LOS ANGELES,CA,90016,open,-13173019.4389363,4031286.3947264
54660,CVS Pharmacy #09734,2500 W VICTORY BLVD,BURBANK,CA,91505,open,-13173419.8551446,4053496.00790005
54661,CVS Pharmacy #09766,12015 WILSHIRE BOULEVARD,LOS ANGELES,CA,90025,open,-13187563.8870058,4034926.90542629
54662,CVS Pharmacy #09618,4105 W AVE L,LANCASTER,CA,93536,open,-13158403.5237536,4117995.13148625
54667,CVS PHARMACY #09634,2521 EAST AVENUE S,PALMDALE,CA,93550,open,-13145097.505019,4104194.87082716
54668,CVS Pharmacy #09738,11735 WHITTIER BOULEVARD,WHITTIER,CA,90601,open,-13141403.0337586,4026295.10820576
54677,CVS Pharmacy #09740,15210 EAST ROSECRANS AVENUE,LA MIRADA,CA,90638,open,-13136477.4802495,4015181.05090222
54679,CVS Pharmacy #09568,4625 TORRANCE BOULEVARD,TORRANCE,CA,90503,open,-13176066.8099967,4007233.04153395
